Dt Termino;Qt Ordem;Item;Ordem Prod;Peca;Desc Peca;Med Esquadra;Med Bruta;Ardis;Quantidade;Lote Multiplo;Pilha;Código da chapa;Classificacao;Desc. da chapa;Fita;Pintura;
16/01/23;367;16689T*.2;849461;203410709T11;PORTA 1070/1668 SEM ESPELHO ;;15X566X2000;;734;50;8;2011000015039;AGLOM 15MM;AGLOM 15MM (2750x2200); 0 LADO (); 2 LADOS;
16/01/23;160;16689T*.5;849462;203413030911;LATERAL GAV SR FP ;;12X110X400; CORTE 5X ;960;900;1;2011000012021;AGLOM 12MM;AGLOM 12MM (2750x1850); 1 LADO (1=400MM); 2 LADOS;
16/01/23;160;16689T*.5;849462;203416689T08;DIVISORIA ESQ 1668 ;;12X440X1665;;160;60;3;2011000012021;AGLOM 12MM;AGLOM 12MM (2750x1850); 1 LADO (1=1665MM); 2 LADOS;
16/01/23;160;16689T*.5;849462;203416689T10;FRENTE GAV R15 1668 ;15X310X536;15X151X533; CORTE 1X ;960;550;2;2011000015022;AGLOM 15MM;AGLOM 15MM (2750x1850); 4 LADOS (); 2 LADOS;
16/01/23;160;16689T*.5;849462;203416689T25;TAMPO MAL DIR 1668 ;;12X440X1165;;160;60;3;2011000012021;AGLOM 12MM;AGLOM 12MM (2750x1850); 1 LADO (1=1165MM); 2 LADOS;
16/01/23;160;16689T*.5;849462;203416689T26;TAMPO MAL ESQ 1668 ;;12X440X1165;;160;60;3;2011000012021;AGLOM 12MM;AGLOM 12MM (2750x1850); 1 LADO (1=1165MM); 2 LADOS;
16/01/23;160;16689T*.5;849462;203416680903;COSTA GAV SR ;;12X110X491; CORTE 4X ;960;900;2;2011000012021;AGLOM 12MM;AGLOM 12MM (2750x1850); 1 LADO (1=491MM); 1 LADO;
16/01/23;160;16689T*.5;849462;203416689T17;PRATELEIRA MOVEL 1668 ;;12X438X540;;160;180;1;2011000012021;AGLOM 12MM;AGLOM 12MM (2750x1850); 1 LADO (1=540MM); 2 LADOS;
16/01/23;160;16689T*.5;849462;203416689T27;TAMPO MENOR ESQ 1668 ;;12X300X613;;160;120;2;2011000012021;AGLOM 12MM;AGLOM 12MM (2750x1850); 1 LADO (1=613MM); 2 LADOS;
16/01/23;194;16869T*.3;849472;203416869T21;TAMPO 1686 ;;15X542X2341;;194;50;4;2011000015022;AGLOM 15MM;AGLOM 15MM (2750x1850); 1 LADO (1=2341MM); 1 LADO;
16/01/23;194;16869T*.3;849472;203413030911;LATERAL GAV SR FP ;;12X110X400; CORTE 5X ;1164;900;1;2011000012021;AGLOM 12MM;AGLOM 12MM (2750x1850); 1 LADO (1=400MM); 2 LADOS;
16/01/23;194;16869T*.3;849472;203416689T06;DIVISORIA CENTRAL 1668 ;;12X440X2030;;194;60;4;2011000012014;AGLOM 12MM;AGLOM 12MM (2750x2200); 1 LADO (1=2030MM); 2 LADOS;
16/01/23;194;16869T*.3;849472;203416689T19;RODAPE FRONTAL 1668 ;;12X100X2341;;194;240;1;2011000012014;AGLOM 12MM;AGLOM 12MM (2750x2200); 0 LADO; 1 LADO;
16/01/23;194;16869T*.3;849472;203416680020;RODAPE TRAS 1668 ;;12X100X2341;;194;240;1;2011000012021;AGLOM 12MM;AGLOM 12MM (2750x1850); 0 LADO; 0 LADO;
16/01/23;194;16869T*.3;849472;203416689T09;DIVISORIA DIR 1668 ;;12X440X1665;;194;60;4;2011000012021;AGLOM 12MM;AGLOM 12MM (2750x1850); 1 LADO (1=1665MM); 2 LADOS;
16/01/23;194;16869T*.3;849472;203416869T01;BASE 1686 ;;15X542X2341;;194;50;4;2011000015022;AGLOM 15MM;AGLOM 15MM (2750x1850); 1 LADO (1=2341MM); 1 LADO;
16/01/23;186;16869T*.4;849473;203416869T14;LATERAL DIR 1686 ;;15X544X2160;;186;40;5;2011000015022;AGLOM 15MM;AGLOM 15MM (2750x1850); 1 LADO (1=2160MM); 2 LADOS;
16/01/23;186;16869T*.4;849473;203416680018;RODAPE CENTRAL 1668 ;;12X100X500;;558;1020;1;2011000012021;AGLOM 12MM;AGLOM 12MM (2750x1850); 0 LADO (); 0 LADO;
16/01/23;186;16869T*.4;849473;203416689T17;PRATELEIRA MOVEL 1668 ;;12X438X540;;186;180;2;2011000012021;AGLOM 12MM;AGLOM 12MM (2750x1850); 1 LADO (1=540MM); 2 LADOS;
16/01/23;186;16869T*.4;849473;203416689T22;TAMPO GAV DIR 1668 ;;12X438X540;;186;180;2;2011000012021;AGLOM 12MM;AGLOM 12MM (2750x1850); 1 LADO (1=540MM); 1 LADO;
