Dt Termino;Qt Ordem;Item;Ordem Prod;Peca;Desc Peca;Med Esquadra;Med Bruta;Ardis;Quantidade;Lote Multiplo;Pilha;Código da chapa;Classificacao;Desc. da chapa;Fita;Pintura;
23/01/23;300;6918091CF;1144328;2034691809C9;TAMPO 6918 - CARB - ;25X385X1448;25X382X1445;;300;30;10;2011000025038;AGLOM 25MM CARB;AGLOM 25MM (2750x1850) (CARB-CERTIFICADO); 4 LADOS; 1 LADO;
23/01/23;300;6918091CF;1144328;2034691809C10;LATERAL DIR 6918 - CARB - ;;25X380X375;;300;120;3;2011000025038;AGLOM 25MM CARB;AGLOM 25MM (2750x1850) (CARB-CERTIFICADO); 1 LADO (1=375MM); 2 LADOS;
23/01/23;300;6918091CF;1144328;2034691809C11;LATERAL ESQ 6918 - CARB - ;;25X380X375;;300;120;3;2011000025038;AGLOM 25MM CARB;AGLOM 25MM (2750x1850) (CARB-CERTIFICADO); 1 LADO (1=375MM); 2 LADOS;
23/01/23;300;6918091CF;1144328;2034691809C6;PORTA 6918 - CARB - ;15X285X395;15X282X392;;600;200;3;2011000015046;AGLOM 15MM CARB;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO); 4 LADOS (); 2 LADOS;
23/01/23;300;6918091CF;1144328;2034691809C3;DIVISORIA 6918 - CARB - ;;15X376X292;;600;250;3;2011000015046;AGLOM 15MM CARB;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO); 1 LADO (1=292MM); 2 LADOS;
23/01/23;300;6918091CF;1144328;2034691809C7;PRATELEIRA 6918 - CARB - ;;15X375X562;;300;150;2;2011000015046;AGLOM 15MM CARB;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO); 1 LADO (1=562MM); 1 LADO;
23/01/23;300;6918091CF;1144328;2034691809C1;BASE 6918 - CARB - ;;15X378X1391;;300;50;6;2011000015046;AGLOM 15MM CARB;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO); 1 LADO (1=1391MM); 1 LADO;
23/01/23;500;69188N1CF;1144327;203469188NC9;TAMPO 6918 - CARB - ;25X385X1448;25X382X1445;;500;30;17;2011000025038;AGLOM 25MM CARB;AGLOM 25MM (2750x1850) (CARB-CERTIFICADO); 4 LADOS; 1 LADO;
23/01/23;500;69188N1CF;1144327;203469188NC10;LATERAL DIR 6918 - CARB - ;;25X380X375;;500;120;5;2011000025038;AGLOM 25MM CARB;AGLOM 25MM (2750x1850) (CARB-CERTIFICADO); 1 LADO (1=375MM); 2 LADOS;
23/01/23;500;69188N1CF;1144327;203469188NC11;LATERAL ESQ 6918 - CARB - ;;25X380X375;;500;120;5;2011000025038;AGLOM 25MM CARB;AGLOM 25MM (2750x1850) (CARB-CERTIFICADO); 1 LADO (1=375MM); 2 LADOS;
23/01/23;500;69188N1CF;1144327;203469188NC6;PORTA 6918 - CARB - ;15X285X395;15X282X392;;1000;200;5;2011000015046;AGLOM 15MM CARB;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO); 4 LADOS; 2 LADOS;
23/01/23;500;69188N1CF;1144327;203469188NC3;DIVISORIA 6918 - CARB - ;;15X376X292;;1000;250;4;2011000015046;AGLOM 15MM CARB;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO); 1 LADO (1=292MM); 2 LADOS;
23/01/23;500;69188N1CF;1144327;203469188NC7;PRATELEIRA 6918 - CARB - ;;15X375X562;;500;150;4;2011000015046;AGLOM 15MM CARB;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO); 1 LADO (1=562MM); 1 LADO;
23/01/23;500;69188N1CF;1144327;203469188NC1;BASE 6918 - CARB - ;;15X378X1391;;500;50;10;2011000015046;AGLOM 15MM CARB;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO); 1 LADO (1=1391MM); 1 LADO;
23/01/23;600;94098N1;1142119;203494098N20;TAMPO 9409 ;25X603X1363;25X600X1360;;600;30;20;2011000025014;AGLOM 25MM;AGLOM 25MM (2750x1850); 3 LADOS (2=600MM/1=; 1 LADO;
23/01/23;600;94098N1;1142119;203494098N14;COSTA CENTRAL 9409 ;;12X245X860;;600;50;12;2011000012021;AGLOM 12MM;AGLOM 12MM (2750x1850); 0 LADO ; 1 LADO;
23/01/23;600;94098N1;1142119;203494098N15;COSTA ESQ 9409 ;;12X198X725;;600;200;3;2011000012021;AGLOM 12MM;AGLOM 12MM (2750x1850); 1 LADO (1=725MM); 1 LADO (LADO DA FUR;
