Dt Termino;Qt Ordem;Item;Ordem Prod;Peca;Desc Peca;Med Esquadra;Med Bruta;Ardis;Quantidade;Lote Multiplo;Pilha;Código da chapa;Classificacao;Desc. da chapa;Fita;Pintura;
13/01/23;300;10948N*.2;1139461;203410948N06;LATERAL DIR 1094 ;;12X450X2042;;0;60;0;2011000012014;AGLOM 12MM;AGLOM 12MM (2750x2200); 0 LADO; 2 LADOS;
13/01/23;300;10948N*.2;1139461;203410948N09;MONTANTE SUP 1094 ;;12X97X1040;;0;240;0;2011000012014;AGLOM 12MM;AGLOM 12MM (2750x2200); 1 LADO (1=1040MM) L; 1 LADO (OPOSTO A RA;
13/01/23;300;10948N*.2;1139461;203410948N11;RODAPE FRONTAL ;;12X100X1060;;0;240;0;2011000012014;AGLOM 12MM;AGLOM 12MM (2750x2200); 0 LADO ; 1 LADO;
13/01/23;300;10948N*.2;1139461;203410930904;DIVISORIA INF 1093 ;;12X100X380;;0;1020;0;2013001209035;MDP BP 12MM BRANCO;MDP BP 12MM (2750x1860) - 2L (BRANCO); 1 LADO (1=380MM); 2 LADOS;
13/01/23;300;10948N*.2;1139461;203410938N08;MONTANTE LAT 1093 ;;12X65X2042;;0;360;0;2011000012014;AGLOM 12MM;AGLOM 12MM (2750x2200); 2 LADOS (2=2042MM); 2 LADOS ;
13/01/23;300;10948N*.2;1139461;203410940913;TAMPO INTERM SUP 1094 ;;12X362X1060;;0;60;0;2013001209035;MDP BP 12MM BRANCO;MDP BP 12MM (2750x1860) - 2L (BRANCO); 1 LADO (1=1060MM); 2 LADOS;
13/01/23;300;10948N*.2;1139461;203410940914;TAMPO INTERM INF 1094 ;;12X362X1060;;0;60;0;2013001209035;MDP BP 12MM BRANCO;MDP BP 12MM (2750x1860) - 2L (BRANCO); 1 LADO (1=1060MM); 1 LADO;
13/01/23;300;10948N*.2;1139461;203410948N01;BASE 1094 ;;12X446X1060;;0;60;0;2011000012014;AGLOM 12MM;AGLOM 12MM (2750x2200); 1 LADO (1=1060MM); 1 LADO;
13/01/23;300;10948N*.2;1139461;203410948N12;TAMPO 1094 ;;12X446X1060;;0;60;0;2011000012014;AGLOM 12MM;AGLOM 12MM (2750x2200); 0 LADO; 1 LADO;
13/01/23;300;10948N*.2;1139461;203410948N07;LATERAL ESQ 1094 ;;12X450X2042;;0;60;0;2011000012014;AGLOM 12MM;AGLOM 12MM (2750x2200); 0 LADO; 2 LADOS;
13/01/23;200;69928N1CF;1143225;203469928NC11;MONTANTE FRONTAL 6992 - CARB - ;;15X70X1296;;200;50;4;2011000015046;AGLOM 15MM CARB;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO); 1 LADO (1=1296MM); 1 LADO;
13/01/23;200;69928N1CF;1143225;203469928NC14;TAMPO 6992 - CARB - ;15X383X1363;15X380X1360;;200;50;4;2011000015046;AGLOM 15MM CARB;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO); 4 LADOS ; 1 LADO;
13/01/23;200;69928N1CF;1143225;203469928NC12;LATERAL DIR 6992 - CARB - ;;15X363X400;;200;50;4;2011000015046;AGLOM 15MM CARB;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO); 1 LADO (1=400MM); 2 LADOS;
13/01/23;200;69928N1CF;1143225;203469928NC13;LATERAL ESQ 6992 - CARB - ;;15X363X400;;200;50;4;2011000015046;AGLOM 15MM CARB;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO); 1 LADO (1=400MM); 2 LADOS;
13/01/23;200;69928N1CF;1143225;203469928NC15;DIVISORIA 6992 - CARB - ;;15X330X400;;200;50;4;2011000015046;AGLOM 15MM CARB;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO); 1 LADO (1=400MM); 2 LADOS;
13/01/23;200;69928N1CF;1143225;203469928NC9;PRATELEIRA FIXA 6992 - CARB - ;;15X328X640;;400;50;8;2011000015046;AGLOM 15MM CARB;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO); 1 LADO (1=640MM); 1 LADO;
13/01/23;200;69928N1CF;1143225;203469928NC1;BASE 6992 - CARB - ;15X367X1329;15X364X1326;;200;50;4;2011000015046;AGLOM 15MM CARB;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO); 3 LADOS (2=364MM/1=; 1 LADO;
13/01/23;200;9406091CF;1143227;2034940609C13;TAMPO 9406 - CARB - ;15X453X1103;15X450X1100;;200;50;4;2011000015046;AGLOM 15MM CARB;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO); 3 LADOS (2=450MM/1=; 1 LADO;
13/01/23;200;9406091CF;1143227;2034940609C1;BASE 9406 - CARB - ;;12X431X330;;200;180;2;2011000012045;AGLOM 12MM CARB;AGLOM 12MM (2750x1850) (CARB-CERTIFICADO); 1 LADO (1=330MM); 1 LADO;
13/01/23;200;9406091CF;1143227;2034940609C7;LATERAL DIR 9406 - CARB - ;;15X433X750;;200;100;2;2011000015046;AGLOM 15MM CARB;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO); 1 LADO (1=750MM); 2 LADOS;
13/01/23;200;9406091CF;1143227;2034940609C12;RODAPE FRONTAL 9406 - CARB - ;;12X70X330;;200;1440;1;2011000012045;AGLOM 12MM CARB;AGLOM 12MM (2750x1850) (CARB-CERTIFICADO); 0 LADO ; 1 LADO;
13/01/23;200;9406091CF;1143227;2034940609C5;FRENTE GAV 9406 - CARB - ;15X446X360;15X219X357;;200;350;1;2011000015046;AGLOM 15MM CARB;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO); 4 LADOS; 2 LADOS;
13/01/23;200;9406091CF;1143227;2034940609C8;LATERAL ESQ 9406 - CARB - ;;15X433X750;;200;100;2;2011000015046;AGLOM 15MM CARB;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO); 1 LADO (1=750MM); 2 LADOS;
13/01/23;200;9406091CF;1143227;2034940609C4;DIVISORIA 9406 - CARB - ;;15X433X750;;200;100;2;2011000015046;AGLOM 15MM CARB;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO); 1 LADO (1=750MM); 2 LADOS;
13/01/23;200;9406091CF;1143227;2034940609C14;TRAVESSA CENTRAL 9406 - CARB -  ;;12X180X721;;200;240;1;2011000012045;AGLOM 12MM CARB;AGLOM 12MM (2750x1850) (CARB-CERTIFICADO); 0 LAD0; 1 LADO;
13/01/23;200;9406091CF;1143227;2034940609C3;COSTA GAV 9406 - CARB - ;;12X130X281;;200;780;1;2011000012045;AGLOM 12MM CARB;AGLOM 12MM (2750x1850) (CARB-CERTIFICADO); 1 LADO (1=281MM); 1 LADO;
13/01/23;200;9406091CF;1143227;2034940609C10;LATERAL GAV ESQ 9406 - CARB - ;;12X150X400;;200;660;1;2011000012045;AGLOM 12MM CARB;AGLOM 12MM (2750x1850) (CARB-CERTIFICADO); 2 LADOS (2=400MM); 2 LADOS;
13/01/23;200;9406091CF;1143227;2034940609C11;PORTA 9406 - CARB - ;15X454X360;15X451X357;;200;150;2;2011000015046;AGLOM 15MM CARB;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO); 4 LADOS; 2 LADOS;
13/01/23;200;9406091CF;1143227;2034940609C9;LATERAL GAV DIR 9406 - CARB - ;;12X150X400;;200;660;1;2011000012045;AGLOM 12MM CARB;AGLOM 12MM (2750x1850) (CARB-CERTIFICADO); 2 LADOS (2=400MM); 2 LADOS;
13/01/23;200;94063B1CF;1143229;203494063BC13;TAMPO 9406 - CARB - ;15X453X1103;15X450X1100;;200;50;4;2011000015046;AGLOM 15MM CARB;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO); 3 LADOS (2=450MM/1=; 1 LADO;
13/01/23;200;94063B1CF;1143229;203494063BC1;BASE 9406 - CARB - ;;12X431X330;;200;180;2;2011000012045;AGLOM 12MM CARB;AGLOM 12MM (2750x1850) (CARB-CERTIFICADO); 1 LADO (1=330MM); 1 LADO;
13/01/23;200;94063B1CF;1143229;203494063BC7;LATERAL DIR 9406 - CARB - ;;15X433X750;;200;100;2;2011000015046;AGLOM 15MM CARB;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO); 1 LADO (1=750MM); 2 LADOS;
13/01/23;200;94063B1CF;1143229;203494063BC12;RODAPE FRONTAL 9406 - CARB - ;;12X70X330;;200;1440;1;2011000012045;AGLOM 12MM CARB;AGLOM 12MM (2750x1850) (CARB-CERTIFICADO); 0 LADO ; 1 LADO;
13/01/23;200;94063B1CF;1143229;203494063BC5;FRENTE GAV 9406 - CARB - ;15X446X360;15X219X357;;200;350;1;2011000015046;AGLOM 15MM CARB;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO); 4 LADOS; 2 LADOS;
13/01/23;200;94063B1CF;1143229;203494063BC8;LATERAL ESQ 9406 - CARB - ;;15X433X750;;200;100;2;2011000015046;AGLOM 15MM CARB;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO); 1 LADO (1=750MM); 2 LADOS;
13/01/23;200;94063B1CF;1143229;203494063BC4;DIVISORIA 9406 - CARB - ;;15X433X750;;200;100;2;2011000015046;AGLOM 15MM CARB;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO); 1 LADO (1=750MM); 2 LADOS;
13/01/23;200;94063B1CF;1143229;2034940609C3;COSTA GAV 9406 - CARB - ;;12X130X281;;200;780;1;2011000012045;AGLOM 12MM CARB;AGLOM 12MM (2750x1850) (CARB-CERTIFICADO); 1 LADO (1=281MM); 1 LADO;
13/01/23;200;94063B1CF;1143229;203494063BC14;TRAVESSA CENTRAL 9406 - CARB -  ;;12X180X721;;200;240;1;2011000012045;AGLOM 12MM CARB;AGLOM 12MM (2750x1850) (CARB-CERTIFICADO); 0 LADO; 1 LADO;
13/01/23;200;94063B1CF;1143229;2034940609C10;LATERAL GAV ESQ 9406 - CARB - ;;12X150X400;;200;660;1;2011000012045;AGLOM 12MM CARB;AGLOM 12MM (2750x1850) (CARB-CERTIFICADO); 2 LADOS (2=400MM); 2 LADOS;
13/01/23;200;94063B1CF;1143229;2034940609C9;LATERAL GAV DIR 9406 - CARB - ;;12X150X400;;200;660;1;2011000012045;AGLOM 12MM CARB;AGLOM 12MM (2750x1850) (CARB-CERTIFICADO); 2 LADOS (2=400MM); 2 LADOS;
13/01/23;200;94063B1CF;1143229;203494063BC11;PORTA 9406 - CARB - ;15X454X360;15X451X357;;200;150;2;2011000015046;AGLOM 15MM CARB;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO); 4 LADOS; 2 LADOS;
13/01/23;200;94068N1CF;1143230;203494068NC13;TAMPO 9406 - CARB - ;15X453X1103;15X450X1100;;200;50;4;2011000015046;AGLOM 15MM CARB;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO); 3 LADOS (2=450MM/1=; 1 LADO;
13/01/23;200;94068N1CF;1143230;203494068NC1;BASE 9406 - CARB - ;;12X431X330;;200;180;2;2011000012045;AGLOM 12MM CARB;AGLOM 12MM (2750x1850) (CARB-CERTIFICADO); 1 LADO (1=330MM); 1 LADO;
13/01/23;200;94068N1CF;1143230;203494068NC7;LATERAL DIR 9406 - CARB - ;;15X433X750;;200;100;2;2011000015046;AGLOM 15MM CARB;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO); 1 LADO (1=750MM); 2 LADOS;
13/01/23;200;94068N1CF;1143230;203494068NC12;RODAPE FRONTAL 9406 - CARB - ;;12X70X330;;200;1440;1;2011000012045;AGLOM 12MM CARB;AGLOM 12MM (2750x1850) (CARB-CERTIFICADO); 0 LADO ; 1 LADO;
13/01/23;200;94068N1CF;1143230;203494068NC5;FRENTE GAV 9406 - CARB - ;15X446X360;15X219X357;;200;350;1;2011000015046;AGLOM 15MM CARB;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO); 4 LADOS; 2 LADOS;
13/01/23;200;94068N1CF;1143230;203494068NC8;LATERAL ESQ 9406 - CARB - ;;15X433X750;;200;100;2;2011000015046;AGLOM 15MM CARB;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO); 1 LADO (1=750MM); 2 LADOS;
13/01/23;200;94068N1CF;1143230;203494068NC4;DIVISORIA 9406 - CARB - ;;15X433X750;;200;100;2;2011000015046;AGLOM 15MM CARB;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO); 1 LADO (1=750MM); 2 LADOS;
13/01/23;200;94068N1CF;1143230;2034940609C3;COSTA GAV 9406 - CARB - ;;12X130X281;;200;780;1;2011000012045;AGLOM 12MM CARB;AGLOM 12MM (2750x1850) (CARB-CERTIFICADO); 1 LADO (1=281MM); 1 LADO;
13/01/23;200;94068N1CF;1143230;203494068NC14;TRAVESSA CENTRAL 9406 - CARB -  ;;12X180X721;;200;240;1;2011000012045;AGLOM 12MM CARB;AGLOM 12MM (2750x1850) (CARB-CERTIFICADO); 0 LADO; 1 LADO;
