N° Layout;Código chapa ERP;Descrição da chapa;Família da chapa;Espessura chapa e peça;Comprimento chapa;Largura Chapa;m² da chapa;Quantidade de chapa;m³ total plano;Carregamentos;Quantidade por corte;Aproveitamento;Ocupação Máquina;m² total;Custo R$/m²;Tempo corte;Máquina;Deposito;Cortes N1;Cortes N2;Cortes N3;% peça no plano;Código peça ERP;Descrição da peça;Comprimento da peça;Largura da peça;m² líquido peça; Quantidade programada;m² líquido total peça;m³ líquido total peça;m² bruto peça;Quantidade produzida;Peças superprodução;m² superprodução;Data embalagem;Referência do item;Lote;Lógica Ardis;Código chapa ERP;Nível;Prioridade;Comprimento peça final;Largura peça final;% produzido;Nome arquivo data;Tipo dado;Usuário;Data processamento;Hora processamento;Unidade;Descrição Peça 2
1;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;60;3.66;6;10;93.74;100;305.25;11.3794;  0:55;SC09;MATERIAIS_FB_NORMAL;11000;10782;0;;;;;;;;;;;;;;;;;;;;;;;;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_LAYOUT;alexandre;01/07/2022;  9:52;Fábrica Vermelha;
1;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;60;3.66;6;10;93.74;100;305.25;11.3794;  0:55;SC09;MATERIAIS_FB_NORMAL;11000;10782;0;45.4773;242007005Z19;LATERAL ESQ BAL;645;807;0.520515;250;130.12875;1.561545;138.820219113;250;0;0;21/12/21;G20070515Z*.1;1011337;DUPLA1Y;2011000012014;0;0;645;401;*****;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;LATERAL ESQ BALCAO G20070
1;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;60;3.66;6;10;93.74;100;305.25;11.3794;  0:55;SC09;MATERIAIS_FB_NORMAL;11000;10782;0;20.01001;242007005Z16;LATERAL DIR BAL;645;807;0.520515;110;57.25665;0.6870798;61.08089641;250;0;0;21/12/21;G20070515Z*.1;1011337;DUPLA1Y;2011000012014;0;0;645;401;44 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;LATERAL DIR BALCAO G20070
1;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;60;3.66;6;10;93.74;100;305.25;11.3794;  0:55;SC09;MATERIAIS_FB_NORMAL;11000;10782;0;5.68044;242007005Z23;MONTANTE BALCAO;645;105;0.067725;240;16.254;0.195048;17.339625882;250;0;0;21/12/21;G20070515Z*.2;1011336;CORTE1Y;2011000012014;0;0;645;50;96 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;MONTANTE BALCAO G20070
1;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;60;3.66;6;10;93.74;100;305.25;11.3794;  0:55;SC09;MATERIAIS_FB_NORMAL;11000;10782;0;5.8684;242007005Z18;LATERAL ESQ AER;552;507;0.279864;60;16.79184;0.20150208;17.913388918;250;0;0;21/12/21;G20070515Z*.1;1011337;ESQUADRA1Y;2011000012014;0;0;552;251;24 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;LATERAL ESQ AEREO G20070
1;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;60;3.66;6;10;93.74;100;305.25;11.3794;  0:55;SC09;MATERIAIS_FB_NORMAL;11000;10782;0;22.9633;242007005Z11;DIVISORIA AEREO;540;507;0.27378;240;65.7072;0.7884864;70.095869678;250;0;0;21/12/21;G20070515Z*.2;1011336;ESQUADRA1Y;2011000012014;0;0;540;251;96 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;DIVISORIA AEREO G20070
2;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;5;0.31;1;10;90.78;50;25.4375;11.3794;  0:08;SC09;MATERIAIS_FB_NORMAL;11000;9999;0;;;;;;;;;;;;;;;;;;;;;;;;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_LAYOUT;alexandre;01/07/2022;  9:52;Fábrica Vermelha;
2;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;5;0.31;1;10;90.78;50;25.4375;11.3794;  0:08;SC09;MATERIAIS_FB_NORMAL;11000;9999;0;67.62863;242007005Z16;LATERAL DIR BAL;645;807;0.520515;30;15.61545;0.1873854;17.201862384;250;0;0;21/12/21;G20070515Z*.1;1011337;DUPLA1Y;2011000012014;0;0;645;401;56 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;LATERAL DIR BALCAO G20070
2;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;5;0.31;1;10;90.78;50;25.4375;11.3794;  0:08;SC09;MATERIAIS_FB_NORMAL;11000;9999;0;2.93309;242007005Z23;MONTANTE BALCAO;645;105;0.067725;10;0.67725;0.008127;0.746053511;250;0;0;21/12/21;G20070515Z*.2;1011336;CORTE1Y;2011000012014;0;0;645;50;*****;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;MONTANTE BALCAO G20070
2;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;5;0.31;1;10;90.78;50;25.4375;11.3794;  0:08;SC09;MATERIAIS_FB_NORMAL;11000;9999;0;29.44508;242007005Z15;LATERAL DIR AER;447;507;0.226629;30;6.79887;0.08158644;7.489584105;250;0;0;21/12/21;G20070515Z*.1;1011337;ESQUADRA1Y;2011000012014;0;0;447;251;12 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;LATERAL DIR AEREO G20070
