N° Layout;Código chapa ERP usada;Descrição da chapa;Classificação da chapa;Espessura chapa e peça;Comprimento chapa;Largura Chapa;m² da chapa;Quantidade de chapa;m³ total plano;Carregamentos;Quantidade por corte;Aproveitamento;Ocupação Máquina;m² total;Custo R$/m²;Tempo corte;Máquina;Deposito;Cortes N1;Cortes N2;Cortes N3;% peça no plano;Código peça ERP;Descrição da peça;Comprimento da peça;Largura da peça;m² líquido peça; Quantidade programada;m² líquido total peça;m³ líquido total peça;m² bruto peça;Quantidade produzida;Peças superprodução;m² superprodução;Data embalagem;Referência do item;Lote;Lógica Ardis;Código chapa ERP Cadastro;Nível;Prioridade;Comprimento peça final;Largura peça final;% produzido;Nome arquivo data;Tipo dado;Usuário;Data processamento;Hora processamento;Unidade;Descrição Peça 2
1;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;80;1.01;4;20;95.11;100;361.12;40;  0:55;SC11 - SCM Star;MATERIAIS_FV_NORMAL;12200;5397;0;;;;;;;;;;;;;;;;;;;;;;;;08072022_074946_120722 1 3mm_FV_data;DATA_LAYOUT;Ardis;08/07/2022;  7:49;Fábrica Vermelha;
1;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;80;1.01;4;20;95.11;100;361.12;40;  0:55;SC11 - SCM Star;MATERIAIS_FV_NORMAL;12200;5397;0;13.22729;242512500903;COSTA;1188;239;0.283932;160;45.42912;0.127201536;47.766170359;1600;0;0;12/07/22;G25125PR8N1.1;1119829;;2013000309026;0;0;1188;239;10 %;08072022_074946_120722 1 3mm_FV_data;DATA_PEÇA;Ardis;08/07/2022;  7:49;Fábrica Vermelha;COSTA
1;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;80;1.01;4;20;95.11;100;361.12;40;  0:55;SC11 - SCM Star;MATERIAIS_FV_NORMAL;12200;5397;0;86.77315;242412300902;COSTA;1194;520;0.62088;480;298.0224;0.83446272;313.353829641;500;0;0;12/07/22;G24126RM8N1.1;1118562;;2013000309026;0;0;1194;520;96 %;08072022_074946_120722 1 3mm_FV_data;DATA_PEÇA;Ardis;08/07/2022;  7:49;Fábrica Vermelha;COSTA
2;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;5;0.06;1;20;88.37;25;22.57;40;  0:14;SC11 - SCM Star;MATERIAIS_FV_NORMAL;9760;7670;0;;;;;;;;;;;;;;;;;;;;;;;;08072022_074946_120722 1 3mm_FV_data;DATA_LAYOUT;Ardis;08/07/2022;  7:49;Fábrica Vermelha;
2;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;5;0.06;1;20;88.37;25;22.57;40;  0:14;SC11 - SCM Star;MATERIAIS_FV_NORMAL;9760;7670;0;37.74824;242412400922;COSTA;650;386;0.2509;30;7.527;0.0210756;8.517813844;400;0;0;12/07/22;G24124SP092.1;1118263;;2013000309026;0;0;650;386;7.5 %;08072022_074946_120722 1 3mm_FV_data;DATA_PEÇA;Ardis;08/07/2022;  7:49;Fábrica Vermelha;COSTA
2;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;5;0.06;1;20;88.37;25;22.57;40;  0:14;SC11 - SCM Star;MATERIAIS_FV_NORMAL;9760;7670;0;62.27482;242412300902;COSTA;1194;520;0.62088;20;12.4176;0.03476928;14.052186156;500;0;0;12/07/22;G24126RM8N1.1;1118562;;2013000309026;0;0;1194;520;*****;08072022_074946_120722 1 3mm_FV_data;DATA_PEÇA;Ardis;08/07/2022;  7:49;Fábrica Vermelha;COSTA
3;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;40;0.51;2;20;93.93;100;180.56;40;  0:27;SC11 - SCM Star;MATERIAIS_FV_NORMAL;7320;19840;564;;;;;;;;;;;;;;;;;;;;;;;;08072022_074946_120722 1 3mm_FV_data;DATA_LAYOUT;Ardis;08/07/2022;  7:49;Fábrica Vermelha;
3;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;40;0.51;2;20;93.93;100;180.56;40;  0:27;SC11 - SCM Star;MATERIAIS_FV_NORMAL;7320;19840;564;24.4016;242412400927;FUNDO GAV;327;452;0.147804;280;41.38512;0.115878336;44.060491803;800;0;0;12/07/22;G24124SP092.1;1118263;;2013000309026;0;0;327;452;35 %;08072022_074946_120722 1 3mm_FV_data;DATA_PEÇA;Ardis;08/07/2022;  7:49;Fábrica Vermelha;FUNDO GAV
3;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;40;0.51;2;20;93.93;100;180.56;40;  0:27;SC11 - SCM Star;MATERIAIS_FV_NORMAL;7320;19840;564;69.83208;203460190902;COSTA 6019;1352;219;0.296088;400;118.4352;0.33161856;126.09153142;400;0;0;12/07/22;60193Z1;1120251;;2013000309026;0;0;1352;219;*****;08072022_074946_120722 1 3mm_FV_data;DATA_PEÇA;Ardis;08/07/2022;  7:49;Fábrica Vermelha;COSTA 6019
3;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;40;0.51;2;20;93.93;100;180.56;40;  0:27;SC11 - SCM Star;MATERIAIS_FV_NORMAL;7320;19840;564;5.76415;2425200009048;COSTA;650;188;0.1222;80;9.776;0.0273728;10.407976777;400;0;0;13/07/22;G2520050091.1;1120293;;2013000309026;0;0;650;188;20 %;08072022_074946_120722 1 3mm_FV_data;DATA_PEÇA;Ardis;08/07/2022;  7:49;Fábrica Vermelha;COSTA
