N° Layout;Código chapa ERP usada;Descrição da chapa;Classificação da chapa;Espessura chapa e peça;Comprimento chapa;Largura Chapa;m² da chapa;Quantidade de chapa;m³ total plano;Carregamentos;Quantidade por corte;Aproveitamento;Ocupação Máquina;m² total;Custo R$/m²;Tempo corte;Máquina;Deposito;Cortes N1;Cortes N2;Cortes N3;% peça no plano;Código peça ERP;Descrição da peça;Comprimento da peça;Largura da peça;m² líquido peça; Quantidade programada;m² líquido total peça;m³ líquido total peça;m² bruto peça;Quantidade produzida;Peças superprodução;m² superprodução;Data embalagem;Referência do item;Lote;Lógica Ardis;Código chapa ERP Cadastro;Nível;Prioridade;Comprimento peça final;Largura peça final;% produzido;Nome arquivo data;Tipo dado;Usuário;Data processamento;Hora processamento;Unidade;Descrição Peça 2
1;2011000012014;AGLOM 12MM (2750x2200);AGLOM 12MM;12;2750;2200;6.05;42;3.05;5;10;95.08;84;254.1;11.1025;  1:23;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;16500;20820;0;;;;;;;;;;;;;;;;;;;;;;;;15072022_091512_190722 - 6_FV_data;DATA_LAYOUT;Ardis;15/07/2022;  9:15;Fábrica Vermelha;
1;2011000012014;AGLOM 12MM (2750x2200);AGLOM 12MM;12;2750;2200;6.05;42;3.05;5;10;95.08;84;254.1;11.1025;  1:23;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;16500;20820;0;14.05968;242675108N14;TIRA REFORCO;674;60;0.04044;840;33.9696;0.4076352;35.725834798;840;0;0;19/07/22;G26751RM8N2.2;1121236;;2011000012021;0;0;674;60;*****;15072022_091512_190722 - 6_FV_data;DATA_PEÇA;Ardis;15/07/2022;  9:15;Fábrica Vermelha;TIRA REFORCO
1;2011000012014;AGLOM 12MM (2750x2200);AGLOM 12MM;12;2750;2200;6.05;42;3.05;5;10;95.08;84;254.1;11.1025;  1:23;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;16500;20820;0;66.84208;242675108N25;TAMPO SUP COLUN;674;489;0.329586;490;161.49714;1.93796568;169.846572935;490;0;0;19/07/22;G26751RM8N2.2;1121236;;2011000012021;0;0;674;489;*****;15072022_091512_190722 - 6_FV_data;DATA_PEÇA;Ardis;15/07/2022;  9:15;Fábrica Vermelha;TAMPO SUP COLUNA
1;2011000012014;AGLOM 12MM (2750x2200);AGLOM 12MM;12;2750;2200;6.05;42;3.05;5;10;95.08;84;254.1;11.1025;  1:23;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;16500;20820;0;19.09774;242675108N12;TAMPO INTERM G2;674;489;0.329586;140;46.14204;0.55370448;48.527592267;500;0;0;19/07/22;G26751RM8N2.2;1121236;;2011000012021;0;0;674;489;28 %;15072022_091512_190722 - 6_FV_data;DATA_PEÇA;Ardis;15/07/2022;  9:15;Fábrica Vermelha;TAMPO INTERM G26751RM
2;2011000012014;AGLOM 12MM (2750x2200);AGLOM 12MM;12;2750;2200;6.05;40;2.9;4;10;95.14;100;242;11.1025;  0:46;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;13750;12053;496;;;;;;;;;;;;;;;;;;;;;;;;15072022_091512_190722 - 6_FV_data;DATA_LAYOUT;Ardis;15/07/2022;  9:15;Fábrica Vermelha;
2;2011000012014;AGLOM 12MM (2750x2200);AGLOM 12MM;12;2750;2200;6.05;40;2.9;4;10;95.14;100;242;11.1025;  0:46;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;13750;12053;496;51.53584;242675108N12;TAMPO INTERM G2;674;489;0.329586;360;118.65096;1.42381152;124.717161507;500;0;0;19/07/22;G26751RM8N2.2;1121236;;2011000012021;0;0;674;489;*****;15072022_091512_190722 - 6_FV_data;DATA_PEÇA;Ardis;15/07/2022;  9:15;Fábrica Vermelha;TAMPO INTERM G26751RM
2;2011000012014;AGLOM 12MM (2750x2200);AGLOM 12MM;12;2750;2200;6.05;40;2.9;4;10;95.14;100;242;11.1025;  0:46;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;13750;12053;496;2.65418;;APROV 20070;616;248;0.152768;40;6.11072;0.07332864;6.423139376;80;0;0;;;;;;0;3;;;50 %;15072022_091512_190722 - 6_FV_data;DATA_PEÇA;Ardis;15/07/2022;  9:15;Fábrica Vermelha;
2;2011000012014;AGLOM 12MM (2750x2200);AGLOM 12MM;12;2750;2200;6.05;40;2.9;4;10;95.14;100;242;11.1025;  0:46;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;13750;12053;496;45.80963;242675108N11;TAMPO COLUNA;674;489;0.329586;320;105.46752;1.26561024;110.859699117;500;0;0;19/07/22;G26751RM8N2.2;1121236;;2011000012021;0;0;674;489;64 %;15072022_091512_190722 - 6_FV_data;DATA_PEÇA;Ardis;15/07/2022;  9:15;Fábrica Vermelha;TAMPO COLUNA
3;2011000012014;AGLOM 12MM (2750x2200);AGLOM 12MM;12;2750;2200;6.05;20;1.45;2;10;93.93;100;121;11.1025;  0:23;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;13750;11918;496;;;;;;;;;;;;;;;;;;;;;;;;15072022_091512_190722 - 6_FV_data;DATA_LAYOUT;Ardis;15/07/2022;  9:15;Fábrica Vermelha;
3;2011000012014;AGLOM 12MM (2750x2200);AGLOM 12MM;12;2750;2200;6.05;20;1.45;2;10;93.93;100;121;11.1025;  0:23;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;13750;11918;496;28.99754;242675108N11;TAMPO COLUNA;674;489;0.329586;100;32.9586;0.3955032;35.087401974;500;0;0;19/07/22;G26751RM8N2.2;1121236;;2011000012021;0;0;674;489;84 %;15072022_091512_190722 - 6_FV_data;DATA_PEÇA;Ardis;15/07/2022;  9:15;Fábrica Vermelha;TAMPO COLUNA
