N° Layout;Código chapa ERP usada;Descrição da chapa;Classificação da chapa;Espessura chapa e peça;Comprimento chapa;Largura Chapa;m² da chapa;Quantidade de chapa;m³ total plano;Carregamentos;Quantidade por corte;Aproveitamento;Ocupação Máquina;m² total;Custo R$/m²;Tempo corte;Máquina;Deposito;Cortes N1;Cortes N2;Cortes N3;% peça no plano;Código peça ERP;Descrição da peça;Comprimento da peça;Largura da peça;m² líquido peça; Quantidade programada;m² líquido total peça;m³ líquido total peça;m² bruto peça;Quantidade produzida;Peças superprodução;m² superprodução;Data embalagem;Referência do item;Lote;Lógica Ardis;Código chapa ERP Cadastro;Nível;Prioridade;Comprimento peça final;Largura peça final;% produzido;Nome arquivo data;Tipo dado;Usuário;Data processamento;Hora processamento;Unidade;Descrição Peça 2
1;2013001209035;MDP BP 12MM (2750x1860) - 2L (BRANCO);MDP BP 12MM BRANCO;12;2750;1860;5.115;50;3.07;5;10;92.95;100;255.75;13.4046;  1:16;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;13750;15654;440;;;;;;;;;;;;;;;;;;;;;;;;20220926_104550_280922 -7_FV_data;DATA_LAYOUT;Ardis;26/09/2022; 10:45;FV;COSTA GAV G24126RM
1;2013001209035;MDP BP 12MM (2750x1860) - 2L (BRANCO);MDP BP 12MM BRANCO;12;2750;1860;5.115;50;3.07;5;10;92.95;100;255.75;13.4046;  1:16;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;13750;15654;440;9.12464;242412600903;COSTA GAV G2412;493;110;0.05423;400;21.692;0.260304;23.336436317;504;4;0.23;28/09/22;G24126RM091.1;1130648;;2013001209035;0;0;493;110;79.4 %;20220926_104550_280922 -7_FV_data;DATA_PECA;Ardis;26/09/2022; 10:45;FV;COSTA GAV G24126RM
1;2013001209035;MDP BP 12MM (2750x1860) - 2L (BRANCO);MDP BP 12MM BRANCO;12;2750;1860;5.115;50;3.07;5;10;92.95;100;255.75;13.4046;  1:16;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;13750;15654;440;6.34754;242412600911;MONTANTE G24126;503;60;0.03018;500;15.09;0.18108;16.233949107;500;0;0;28/09/22;G24126RM091.1;1130648;;2013001209035;0;0;503;60;*****;20220926_104550_280922 -7_FV_data;DATA_PECA;Ardis;26/09/2022; 10:45;FV;MONTANTE G24126RM
1;2013001209035;MDP BP 12MM (2750x1860) - 2L (BRANCO);MDP BP 12MM BRANCO;12;2750;1860;5.115;50;3.07;5;10;92.95;100;255.75;13.4046;  1:16;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;13750;15654;440;84.52707;203410930915;TAMPO INTERM 10;1586;362;0.574132;350;200.9462;2.4113544;216.179614577;404;4;2.47;28/09/22;10938N*.2;1132340;;2013001209035;0;0;1586;362;86.6 %;20220926_104550_280922 -7_FV_data;DATA_PECA;Ardis;26/09/2022; 10:45;FV;TAMPO INTERM 1093
2;2013001209035;MDP BP 12MM (2750x1860) - 2L (BRANCO);MDP BP 12MM BRANCO;12;2750;1860;5.115;9;0.55;1;10;91.22;90;46.035;13.4046;  0:13;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;11000;15734;1160;;;;;;;;;;;;;;;;;;;;;;;;20220926_104550_280922 -7_FV_data;DATA_LAYOUT;Ardis;26/09/2022; 10:45;FV;DIVISORIA INF 1093
2;2013001209035;MDP BP 12MM (2750x1860) - 2L (BRANCO);MDP BP 12MM BRANCO;12;2750;1860;5.115;9;0.55;1;10;91.22;90;46.035;13.4046;  0:13;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;11000;15734;1160;5.70136;203410930904;DIVISORIA INF 1;380;100;0.038;63;2.394;0.028728;2.624419406;803;3;0.12;28/09/22;10938N*.2;1132340;;2013001209035;0;0;380;100;7.8 %;20220926_104550_280922 -7_FV_data;DATA_PECA;Ardis;26/09/2022; 10:45;FV;DIVISORIA INF 1093
2;2013001209035;MDP BP 12MM (2750x1860) - 2L (BRANCO);MDP BP 12MM BRANCO;12;2750;1860;5.115;9;0.55;1;10;91.22;90;46.035;13.4046;  0:13;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;11000;15734;1160;9.29879;242412600903;COSTA GAV G2412;493;110;0.05423;72;3.90456;0.04685472;4.280368854;504;4;0.24;28/09/22;G24126RM091.1;1130648;;2013001209035;0;0;493;110;93.7 %;20220926_104550_280922 -7_FV_data;DATA_PECA;Ardis;26/09/2022; 10:45;FV;COSTA GAV G24126RM
2;2013001209035;MDP BP 12MM (2750x1860) - 2L (BRANCO);MDP BP 12MM BRANCO;12;2750;1860;5.115;9;0.55;1;10;91.22;90;46.035;13.4046;  0:13;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;11000;15734;1160;73.83455;203410930915;TAMPO INTERM 10;1586;362;0.574132;54;31.003128;0.372037536;33.987139003;404;4;2.52;28/09/22;10938N*.2;1132340;;2013001209035;0;0;1586;362;*****;20220926_104550_280922 -7_FV_data;DATA_PECA;Ardis;26/09/2022; 10:45;FV;TAMPO INTERM 1093
2;2013001209035;MDP BP 12MM (2750x1860) - 2L (BRANCO);MDP BP 12MM BRANCO;12;2750;1860;5.115;9;0.55;1;10;91.22;90;46.035;13.4046;  0:13;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;11000;15734;1160;11.17295;203410930905;DIVISORIA 1093;1448;360;0.52128;9;4.69152;0.05629824;5.143072737;401;1;0.57;28/09/22;10938N*.2;1132340;;2013001209035;0;0;1448;360;2.2 %;20220926_104550_280922 -7_FV_data;DATA_PECA;Ardis;26/09/2022; 10:45;FV;DIVISORIA 1093
3;2013001209035;MDP BP 12MM (2750x1860) - 2L (BRANCO);MDP BP 12MM BRANCO;12;2750;1860;5.115;16;0.98;2;10;91.46;80;81.84;13.4046;  0:17;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;8250;15282;330;;;;;;;;;;;;;;;;;;;;;;;;20220926_104550_280922 -7_FV_data;DATA_LAYOUT;Ardis;26/09/2022; 10:45;FV;DIVISORIA BALCAO
