Layout    	Código chapa ERP    	Desc. da chapa                                                                  	Família da chapa                        	Espessura 	Comp. chapa    	Larg. Chapa    	m² da chapa    	Qtd chapa      	m³ total plano 	Carregamentos  	Qtd por corte  	Aproveitamento 	Ocupação Maq.  	m² chapa       	Custo R$/m²    	Tempo corte    	Máquina                       	Deposito                      	Cortes N1      	Cortes N2      	Cortes N3      	% peça plano   	Código peça ERP	Descrição da peça                                 	Comp. peça     	Largura peça   	m² liq. peça   	 Qdt prog.     	m²  liq. total 	m³ liq.  total 	m² bruto peça  	Qtd  produzida 	Pçs sup. prod. 	m² sup. prod.  	Data embalagem 	Referência     	Lote           	Lógica         	Cod. chapa ERP 	Nível          	Prioridade     	Comp. pç final 	Larg. pç final 	% produzido    	Nome arquivo data                                 	Tipo dado      	Usuário        	Data proc.     	Hora proc.     	Unidade             
1         	2011000015039       	AGLOM 15MM (2750x2200)                                                          	AGLOM 15MM                              	15        	2750           	2200           	6.05           	19             	1.72           	3              	8              	97.61          	79.17          	114.95         	9              	  0:28         	SC08 - GABIANNI GALAXY T3     	MATERIAIS_20190730_PRIORIDADE 	11000          	13050          	0              	               	               	               	                                                  	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	29062022_070710_300622 - 12_FV_data               	DATA_LAYOUT    	Ardis          	29/06/2022     	  7:07         	Fábrica Vermelha    
1         	2011000015039       	AGLOM 15MM (2750x2200)                                                          	AGLOM 15MM                              	15        	2750           	2200           	6.05           	19             	1.72           	3              	8              	97.61          	79.17          	114.95         	9              	  0:28         	SC08 - GABIANNI GALAXY T3     	MATERIAIS_20190730_PRIORIDADE 	11000          	13050          	0              	99.99766       	203494098N11   	COSTA DIR 9409                                    	725            	543            	0.393675       	285            	112.197375     	1.682960625    	114.95         	288            	0              	0              	30/06/22       	94098N1        	1118259        	               	2011000015022  	0              	0              	725            	268            	99 %           	29062022_070710_300622 - 12_FV_data               	DATA_PEÇA      	Ardis          	29/06/2022     	  7:07         	Fábrica Vermelha    
2         	2011000015039       	AGLOM 15MM (2750x2200)                                                          	AGLOM 15MM                              	15        	2750           	2200           	6.05           	100            	9.08           	13             	8              	93.11          	96.15          	605            	9              	  1:35         	SC08 - GABIANNI GALAXY T3     	MATERIAIS_20190730_PRIORIDADE 	11000          	13050          	0              	               	               	               	                                                  	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	29062022_070710_300622 - 12_FV_data               	DATA_LAYOUT    	Ardis          	29/06/2022     	  7:07         	Fábrica Vermelha    
2         	2011000015039       	AGLOM 15MM (2750x2200)                                                          	AGLOM 15MM                              	15        	2750           	2200           	6.05           	100            	9.08           	13             	8              	93.11          	96.15          	605            	9              	  1:35         	SC08 - GABIANNI GALAXY T3     	MATERIAIS_20190730_PRIORIDADE 	11000          	13050          	0              	7.64472        	203494098N05   	COSTA ESQ 9409                                    	725            	198            	0.14355        	300            	43.065         	0.645975       	46.250965251   	412            	0              	0              	30/06/22       	94098N1        	1118259        	               	2011000015022  	0              	0              	725            	198            	72.8 %         	29062022_070710_300622 - 12_FV_data               	DATA_PEÇA      	Ardis          	29/06/2022     	  7:07         	Fábrica Vermelha    
2         	2011000015039       	AGLOM 15MM (2750x2200)                                                          	AGLOM 15MM                              	15        	2750           	2200           	6.05           	100            	9.08           	13             	8              	93.11          	96.15          	605            	9              	  1:35         	SC08 - GABIANNI GALAXY T3     	MATERIAIS_20190730_PRIORIDADE 	11000          	13050          	0              	46.1772        	203494098N06   	DIVISORIA DIR 9                                   	725            	598            	0.43355        	600            	260.13         	3.90195        	279.374517375  	600            	0              	0              	30/06/22       	94098N1        	1118259        	               	2011000015022  	0              	0              	725            	598            	*****          	29062022_070710_300622 - 12_FV_data               	DATA_PEÇA      	Ardis          	29/06/2022     	  7:07         	Fábrica Vermelha    
2         	2011000015039       	AGLOM 15MM (2750x2200)                                                          	AGLOM 15MM                              	15        	2750           	2200           	6.05           	100            	9.08           	13             	8              	93.11          	96.15          	605            	9              	  1:35         	SC08 - GABIANNI GALAXY T3     	MATERIAIS_20190730_PRIORIDADE 	11000          	13050          	0              	46.1772        	203494098N07   	DIVISORIA ESQ 9                                   	725            	598            	0.43355        	600            	260.13         	3.90195        	279.374517375  	600            	0              	0              	30/06/22       	94098N1        	1118259        	               	2011000015022  	0              	0              	725            	598            	*****          	29062022_070710_300622 - 12_FV_data               	DATA_PEÇA      	Ardis          	29/06/2022     	  7:07         	Fábrica Vermelha    
3         	2011000015039       	AGLOM 15MM (2750x2200)                                                          	AGLOM 15MM                              	15        	2750           	2200           	6.05           	56             	5.08           	7              	8              	92.52          	100            	338.8          	9              	  1:06         	SC08 - GABIANNI GALAXY T3     	MATERIAIS_20190730_PRIORIDADE 	13750          	14201          	0              	               	               	               	                                                  	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	29062022_070710_300622 - 12_FV_data               	DATA_LAYOUT    	Ardis          	29/06/2022     	  7:07         	Fábrica Vermelha    
3         	2011000015039       	AGLOM 15MM (2750x2200)                                                          	AGLOM 15MM                              	15        	2750           	2200           	6.05           	56             	5.08           	7              	8              	92.52          	100            	338.8          	9              	  1:06         	SC08 - GABIANNI GALAXY T3     	MATERIAIS_20190730_PRIORIDADE 	13750          	14201          	0              	44.18899       	203494098N09   	PRATELEIRA ESQ                                    	400            	581            	0.2324         	596            	138.5104       	2.077656       	149.711438655  	600            	0              	0              	30/06/22       	94098N1        	1118259        	 CORTE 1Y      	2011000015022  	0              	0              	400            	581            	99.3 %         	29062022_070710_300622 - 12_FV_data               	DATA_PEÇA      	Ardis          	29/06/2022     	  7:07         	Fábrica Vermelha    
3         	2011000015039       	AGLOM 15MM (2750x2200)                                                          	AGLOM 15MM                              	15        	2750           	2200           	6.05           	56             	5.08           	7              	8              	92.52          	100            	338.8          	9              	  1:06         	SC08 - GABIANNI GALAXY T3     	MATERIAIS_20190730_PRIORIDADE 	13750          	14201          	0              	22.24278       	203494098N02   	BASE ESQ 9409                                     	400            	581            	0.2324         	300            	69.72          	1.0458         	75.358106705   	300            	0              	0              	30/06/22       	94098N1        	1118259        	 CORTE 1Y      	2011000015022  	0              	0              	400            	581            	*****          	29062022_070710_300622 - 12_FV_data               	DATA_PEÇA      	Ardis          	29/06/2022     	  7:07         	Fábrica Vermelha    
3         	2011000015039       	AGLOM 15MM (2750x2200)                                                          	AGLOM 15MM                              	15        	2750           	2200           	6.05           	56             	5.08           	7              	8              	92.52          	100            	338.8          	9              	  1:06         	SC08 - GABIANNI GALAXY T3     	MATERIAIS_20190730_PRIORIDADE 	13750          	14201          	0              	28.77326       	203494098N01   	BASE DIR 9409                                     	539            	581            	0.313159       	288            	90.189792      	1.35284688     	97.483246834   	288            	0              	0              	30/06/22       	94098N1        	1118259        	               	2011000015022  	0              	0              	269            	581            	*****          	29062022_070710_300622 - 12_FV_data               	DATA_PEÇA      	Ardis          	29/06/2022     	  7:07         	Fábrica Vermelha    
3         	2011000015039       	AGLOM 15MM (2750x2200)                                                          	AGLOM 15MM                              	15        	2750           	2200           	6.05           	56             	5.08           	7              	8              	92.52          	100            	338.8          	9              	  1:06         	SC08 - GABIANNI GALAXY T3     	MATERIAIS_20190730_PRIORIDADE 	13750          	14201          	0              	4.79554        	203494098N08   	PRATELEIRA DIR                                    	539            	581            	0.313159       	48             	15.031632      	0.22547448     	16.247207806   	300            	0              	0              	30/06/22       	94098N1        	1118259        	               	2011000015022  	0              	0              	269            	581            	16 %           	29062022_070710_300622 - 12_FV_data               	DATA_PEÇA      	Ardis          	29/06/2022     	  7:07         	Fábrica Vermelha    
4         	2011000015039       	AGLOM 15MM (2750x2200)                                                          	AGLOM 15MM                              	15        	2750           	2200           	6.05           	1              	0.09           	1              	8              	93.43          	12.5           	6.05           	9              	  0:09         	SC08 - GABIANNI GALAXY T3     	MATERIAIS_20190730_PRIORIDADE 	13750          	15058          	0              	               	               	               	                                                  	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	29062022_070710_300622 - 12_FV_data               	DATA_LAYOUT    	Ardis          	29/06/2022     	  7:07         	Fábrica Vermelha    
4         	2011000015039       	AGLOM 15MM (2750x2200)                                                          	AGLOM 15MM                              	15        	2750           	2200           	6.05           	1              	0.09           	1              	8              	93.43          	12.5           	6.05           	9              	  0:09         	SC08 - GABIANNI GALAXY T3     	MATERIAIS_20190730_PRIORIDADE 	13750          	15058          	0              	11.18761       	203494098N03   	COSTA CENTRAL 9                                   	860            	245            	0.2107         	3              	0.6321         	0.0094815      	0.676540551    	600            	0              	0              	30/06/22       	94098N1        	1118259        	               	2011000015022  	0              	0              	860            	245            	0.5 %          	29062022_070710_300622 - 12_FV_data               	DATA_PEÇA      	Ardis          	29/06/2022     	  7:07         	Fábrica Vermelha    
4         	2011000015039       	AGLOM 15MM (2750x2200)                                                          	AGLOM 15MM                              	15        	2750           	2200           	6.05           	1              	0.09           	1              	8              	93.43          	12.5           	6.05           	9              	  0:09         	SC08 - GABIANNI GALAXY T3     	MATERIAIS_20190730_PRIORIDADE 	13750          	15058          	0              	16.4531        	203494098N09   	PRATELEIRA ESQ                                    	400            	581            	0.2324         	4              	0.9296         	0.013944       	0.994956646    	600            	0              	0              	30/06/22       	94098N1        	1118259        	 CORTE 1Y      	2011000015022  	0              	0              	400            	581            	*****          	29062022_070710_300622 - 12_FV_data               	DATA_PEÇA      	Ardis          	29/06/2022     	  7:07         	Fábrica Vermelha    
4         	2011000015039       	AGLOM 15MM (2750x2200)                                                          	AGLOM 15MM                              	15        	2750           	2200           	6.05           	1              	0.09           	1              	8              	93.43          	12.5           	6.05           	9              	  0:09         	SC08 - GABIANNI GALAXY T3     	MATERIAIS_20190730_PRIORIDADE 	13750          	15058          	0              	38.79846       	203494098N08   	PRATELEIRA DIR                                    	539            	581            	0.313159       	7              	2.192113       	0.032881695    	2.346232142    	300            	0              	0              	30/06/22       	94098N1        	1118259        	               	2011000015022  	0              	0              	269            	581            	18.3 %         	29062022_070710_300622 - 12_FV_data               	DATA_PEÇA      	Ardis          	29/06/2022     	  7:07         	Fábrica Vermelha    
4         	2011000015039       	AGLOM 15MM (2750x2200)                                                          	AGLOM 15MM                              	15        	2750           	2200           	6.05           	1              	0.09           	1              	8              	93.43          	12.5           	6.05           	9              	  0:09         	SC08 - GABIANNI GALAXY T3     	MATERIAIS_20190730_PRIORIDADE 	13750          	15058          	0              	12.70354       	203494098N05   	COSTA ESQ 9409                                    	725            	198            	0.14355        	5              	0.71775        	0.01076625     	0.768212277    	412            	0              	0              	30/06/22       	94098N1        	1118259        	               	2011000015022  	0              	0              	725            	198            	74 %           	29062022_070710_300622 - 12_FV_data               	DATA_PEÇA      	Ardis          	29/06/2022     	  7:07         	Fábrica Vermelha    
4         	2011000015039       	AGLOM 15MM (2750x2200)                                                          	AGLOM 15MM                              	15        	2750           	2200           	6.05           	1              	0.09           	1              	8              	93.43          	12.5           	6.05           	9              	  0:09         	SC08 - GABIANNI GALAXY T3     	MATERIAIS_20190730_PRIORIDADE 	13750          	15058          	0              	20.9031        	203494098N11   	COSTA DIR 9409                                    	725            	543            	0.393675       	3              	1.181025       	0.017715375    	1.264058384    	288            	0              	0              	30/06/22       	94098N1        	1118259        	               	2011000015022  	0              	0              	725            	268            	*****          	29062022_070710_300622 - 12_FV_data               	DATA_PEÇA      	Ardis          	29/06/2022     	  7:07         	Fábrica Vermelha    
