Dt Termino;Qt Ordem;Item;Ordem Prod;Peca;Desc Peca;Med Esquadra;Med Bruta;Ardis;Quantidade;Lote Multiplo;Pilha;Codigo da chapa;Classificacao;Desc. da chapa;Fita;Pintura13/01/23;200;9406091CF;1143227;2034940609C6;FUNDO GAV 9406 - CARB - ;;2,5X292X407;;200;1000;1;2013000309064;3MM FSC BRANCO;HDF 2,5mm - CARB - LE BRANCO ICE - 1L; 0 LADO; HDF;
13/01/23;200;9406091CF;1143227;2034940609C2;COSTA 9406 - CARB - ;;2,5X344X682;;200;500;1;2013000309064;3MM FSC BRANCO;HDF 2,5mm - CARB - LE BRANCO ICE - 1L; 0 LADO; HDF;
13/01/23;200;94063B1CF;1143229;2034940609C6;FUNDO GAV 9406 - CARB - ;;2,5X292X407;;200;1000;1;2013000309064;3MM FSC BRANCO;HDF 2,5mm - CARB - LE BRANCO ICE - 1L; 0 LADO; HDF;
13/01/23;200;94063B1CF;1143229;2034940609C2;COSTA 9406 - CARB - ;;2,5X344X682;;200;500;1;2013000309064;3MM FSC BRANCO;HDF 2,5mm - CARB - LE BRANCO ICE - 1L; 0 LADO; HDF;
13/01/23;200;94068N1CF;1143230;2034940609C6;FUNDO GAV 9406 - CARB - ;;2,5X292X407;;200;1000;1;2013000309064;3MM FSC BRANCO;HDF 2,5mm - CARB - LE BRANCO ICE - 1L; 0 LADO; HDF;
13/01/23;200;94068N1CF;1143230;2034940609C2;COSTA 9406 - CARB - ;;2,5X344X682;;200;500;1;2013000309064;3MM FSC BRANCO;HDF 2,5mm - CARB - LE BRANCO ICE - 1L; 0 LADO; HDF;
13/01/23;250;G22124PR091.1;1141879;242240100905;FUNDO GAV P ;;2,5X327X452;;750;750;1;2013000309026;3MM BRANCO;HDF 2,5mm - LE BRANCO ICE (2440x1850) - 1L; 0 LADO; HDF;
13/01/23;250;G22124PR091.1;1141879;242412400922;COSTA ;;2,5X386X650;;250;500;1;2013000309026;3MM BRANCO;HDF 2,5mm - LE BRANCO ICE (2440x1850) - 1L;; HDF;
13/01/23;250;G22124PR091.1;1141879;242412400934;COSTA ;;2,5X322X803;;500;500;1;2013000309026;3MM BRANCO;HDF 2,5mm - LE BRANCO ICE (2440x1850) - 1L;; HDF;
13/01/23;300;G23655PR5Z1.1;1142744;242260100905;FUNDO GAV P ;;2,5X527X407;;900;750;2;2013000309026;3MM BRANCO;HDF 2,5mm - LE BRANCO ICE (2440x1850) - 1L; 0 LADO; HDF;
13/01/23;300;G23655PR5Z1.1;1142744;2426553009P3;COSTA ;;2,5X322X588;;1200;500;2;2013000309026;3MM BRANCO;HDF 2,5mm - LE BRANCO ICE (2440x1850) - 1L;; HDF ;
13/01/23;500;G24120RM091.1;1139532;242007700905;COSTA ;;2,5X325X1194;;0;250;0;2013000309026;3MM BRANCO;HDF 2,5mm - LE BRANCO ICE (2440x1850) - 1L;; HDF;
13/01/23;300;G25121RM8N1.1;1141876;242007700905;COSTA ;;2,5X325X1194;;600;250;2;2013000309026;3MM BRANCO;HDF 2,5mm - LE BRANCO ICE (2440x1850) - 1L;; HDF;
13/01/23;400;G25125PR5Z1.1;1141205;242512500903;COSTA ;;2,5X239X1188;;800;250;4;2013000309026;3MM BRANCO;HDF 2,5mm - LE BRANCO ICE (2440x1850) - 1L;; HDF;
13/01/23;400;G25127PR5Z1.1;1142745;2425121009042;COSTA ;;2,5X322X1188;;800;250;4;2013000309026;3MM BRANCO;HDF 2,5mm - LE BRANCO ICE (2440x1850) - 1L;; HDF;
13/01/23;300;G25129RM8N1.1;1141257;242512900902;COSTA ;;2,5X243X1194;;600;250;2;2013000309026;3MM BRANCO;HDF 2,5mm - LE BRANCO ICE (2440x1850) - 1L;; HDF;
13/01/23;300;G25400PR5Z1.1;1143085;2425400009P2;COSTA ;;2,5X322X388;;600;1000;1;2013000309026;3MM BRANCO;HDF 2,5mm - LE BRANCO ICE (2440x1850) - 1L;; HDF;
13/01/23;300;G26752FT6E2.2;1141093;242675200902;COSTA ;;2,5X325X694;;900;500;2;2013000309026;3MM BRANCO;HDF 2,5mm - LE BRANCO ICE (2440x1850) - 1L;; HDF;
